,Miltal,Modellår,Biltyp,Drivning,Hästkrafter,Färg,Datum i trafik,Märke,Modell,Pris,Län
161,2773.0,2021,Halvkombi,Tvåhjulsdriven,109,Vit,2020-12-30,Renault,Zoe,199800,Örebro
162,3957.0,2021,Halvkombi,Tvåhjulsdriven,136,Vit,2021-04-09,Renault,Zoe,234800,Örebro
163,4767.0,2019,Halvkombi,Tvåhjulsdriven,184,Ljusbrun,2019-02-21,BMW,i3s,228700,Örebro
164,598.0,2023,Sedan,Fyrhjulsdriven,544,Svart,2023-04-28,BMW,i7,1729900,Örebro
165,1960.0,2022,SUV,Fyrhjulsdriven,524,Vit,2022-03-15,BMW,iX,919000,Örebro
166,3450.0,2022,SUV,Fyrhjulsdriven,524,Grå,2022-03-09,BMW,iX,899000,Örebro
167,1950.0,2022,Halvkombi,Tvåhjulsdriven,170,Silver,2021-12-30,BMW,i3,269000,Örebro
168,4503.0,2019,Halvkombi,Tvåhjulsdriven,170,Svart,2019-03-22,BMW,i3,269900,Örebro
169,950.0,2021,Halvkombi,Tvåhjulsdriven,184,Vit,2021-09-30,BMW,i3,299000,Örebro
170,0.0,2024,Sedan,Fyrhjulsdriven,313,Grå,,BMW,iX2,862700,Örebro
171,4432.0,2021,Halvkombi,Tvåhjulsdriven,143,Vit,2021-06-30,MG,ZS,199800,Örebro
172,4528.0,2020,Halvkombi,Tvåhjulsdriven,143,Svart,2021-06-28,MG,ZS,199900,Örebro
173,3950.0,2020,Halvkombi,Tvåhjulsdriven,143,Blå,2021-09-30,MG,ZS,184800,Örebro
174,1999.0,2020,Halvkombi,Tvåhjulsdriven,143,Svart,2021-06-28,MG,ZS,219900,Örebro
175,7985.0,2021,Kombi,Tvåhjulsdriven,136,Grå,2021-04-01,Peugeot,e-2008,259400,Örebro
176,2947.0,2021,Halvkombi,Fyrhjulsdriven,289,Svart,2022-03-08,MG,R,369900,Örebro
177,2777.0,2022,Halvkombi,Tvåhjulsdriven,150,Vit,2022-03-09,Nissan,Leaf,234000,Örebro
178,1400.0,2023,Halvkombi,Tvåhjulsdriven,136,Blå,2023-03-23,Peugeot,E-208,299500,Örebro
179,7400.0,2020,SUV,Tvåhjulsdriven,204,Grå,2020-12-07,Hyundai,Kona,274800,Örebro
181,1056.0,2023,SUV,Fyrhjulsdriven,585,Vit,2023-04-06,Kia,EV6,689900,Uppsala
182,11700.0,2017,Halvkombi,Tvåhjulsdriven,109,Brun,2017-03-31,Nissan,Leaf,134800,Uppsala
183,9891.0,2018,Sedan,Fyrhjulsdriven,525,Svart,2019-02-22,Tesla,Model S,339900,Uppsala
184,1150.0,2023,Kombi,Tvåhjulsdriven,204,Grå,2023-03-29,Volkswagen,ID.4,429000,Uppsala
185,712.0,2023,SUV,Tvåhjulsdriven,234,Röd,2022-11-30,Volvo,C40,449500,Uppsala
186,4766.0,2022,Halvkombi,Fyrhjulsdriven,289,Svart,2022-04-28,MG,R,349900,Uppsala
187,4034.0,2021,Kombi,Tvåhjulsdriven,204,Grå,2021-04-01,Volkswagen,ID.3,269000,Uppsala
188,5869.0,2021,Kombi,Tvåhjulsdriven,204,Grå,2021-03-23,Volkswagen,ID.3,259000,Uppsala
189,3950.0,2023,Kombi,Fyrhjulsdriven,300,Svart,2023-03-07,Volkswagen,ID.5,559500,Uppsala
190,6088.0,2017,Halvkombi,Tvåhjulsdriven,89,Vit,2016-12-02,Renault,Zoe,79700,Uppsala
191,5400.0,2022,SUV,Fyrhjulsdriven,414,Silver,2022-03-21,Audi,E-Tron,579900,Uppsala
192,579.0,2024,Sedan,Fyrhjulsdriven,601,Grå,2023-10-05,BMV,i5,1138700,Uppsala
193,4191.0,2021,Familjebuss,Tvåhjulsdriven,204,Grå,2021-10-28,Maxus,Euniq,299800,Uppsala
194,5970.0,2021,Halvkombi,Tvåhjulsdriven,218,Röd,2021-09-14,Nissan,Leaf,239800,Uppsala
195,3784.0,2021,SUV,Tvåhjulsdriven,204,Vit,2021-03-31,Kia,E-Niro,289000,Uppsala
196,11879.0,2017,Halvkombi,Fyrhjulsdriven,334,Vit,2017-12-06,Tesla,Model S,324900,Uppsala
197,2002.0,2023,Familjebuss,Tvåhjulsdriven,204,Flerfärgad,2022-11-08,Volkswagen,ID.Buzz,562900,Uppsala
198,1265.0,2020,SUV,Fyrhjulsdriven,408,Vit,2019-12-16,Audi,E-Tron,579900,Uppsala
199,0.0,2024,Sedan,Fyrhjulsdriven,483,Svart,,Audi,E-Tron,1399595,Uppsala
200,0.0,2024,SUV,Fyrhjulsdriven,414,Grå,,Audi,Q8,994900,Uppsala
201,0.0,2024,SUV,Fyrhjulsdriven,414,Grå,,Audi,Q8,1026963,Uppsala
202,,2024,SUV,Tvåhjulsdriven,286,Svart,2024-03-05,Audi,Q4,777900,Uppsala
203,,2024,SUV,Fyrhjulsdriven,340,Grå,,Audi,Q4,699900,Uppsala
204,0.0,2024,SUV,Fyrhjulsdriven,414,Grå,,Audi,Q8,879900,Uppsala
205,0.0,2023,SUV,,408,,,Audi,Q8,1027000,Uppsala
206,,2024,SUV,Fyrhjulsdriven,408,Svart,,Audi,Q8,1124100,Uppsala
207,4218.0,2021,SUV,Tvåhjulsdriven,204,Vit,2021-03-15,Kia,E-Niro,289000,Uppsala
208,2495.0,2022,Coupe,Fyrhjulsdriven,599,Svart,2022-08-23,Porsche,Taycan,1195000,Uppsala
209,404.0,2024,Sedan,Tvåhjulsdriven,340,Svart,2023-06-28,BMV,i4,658700,Uppsala
210,1270.0,2022,SUV,Tvåhjulsdriven,136,Röd,2022-07-15,Hyundai,Kona,259900,Uppsala
211,5500.0,2020,Halvkombi,Tvåhjulsdriven,136,Vit,2020-01-31,Volkswagen,E-Golf,229000,Uppsala
212,890.0,2023,Halvkombi,Tvåhjulsdriven,204,Mörkröd,2023-03-29,Volkswagen,ID.3,374000,Uppsala
213,3028.0,2022,Halvkombi,Tvåhjulsdriven,150,Vit,2021-12-30,Nissan,Leaf,198900,Uppsala
214,1095.0,2023,Kombi,Fyrhjulsdriven,476,Silver,2023-08-02,Porsche,Taycan,1075000,Uppsala
215,8950.0,2022,SUV,Fyrhjulsdriven,414,Grå,2021-12-30,Audi,E-Tron,599900,Uppsala
216,4300.0,2021,SUV,Fyrhjulsdriven,414,Svart,2021-05-11,Audi,E-Tron,519000,Uppsala
217,2640.0,2023,SUV,Tvåhjulsdriven,204,Svart,2022-11-24,Kia,Niro,399000,Uppsala
218,2602.0,2022,Halvkombi,Tvåhjulsdriven,150,Blå,2022-03-24,Nissan,Leaf,219900,Uppsala
219,5216.0,2017,Halvkombi,Tvåhjulsdriven,170,Svart,2017-10-05,BMW,i3,179900,Uppsala
220,6276.0,2018,Halvkombi,Fyrhjulsdriven,762,Grå,2018-11-28,Tesla,Model S,524900,Uppsala
