,Company,Location,Year,Fuel,Miles,Gear,Price,Name,Brand,Model,Engine Volume,Horsepower
7526,,Stockholm,2018,Diesel,11683,Automat,377800,Volkswagen Crafter L3H2 177hk Värmare Dragkrok Kamera MOMS,Volkswagen,Crafter L3H2,Unknown,177
7527,,Stockholm,2020,Bensin,3045,Manuell,134800,Ford Transit Courier 1.0Ecoboost Nyservad LÅGMILAD 0.71L/Mil,Ford,Transit Courier,Unknown,Unknown
7528,,Västerbotten,2020,Miljöbränsle/Hybrid,1978,Automat,995000,"Porsche Cayenne Coupé E-hybrid TipTronic S, 462hk",Porsche,Cayenne Coupé,Unknown,462
7529,,Örebro,2021,Miljöbränsle/Hybrid,2500,Automat,237900,Toyota Corolla Touring Sports Hybrid 1.8 Life Mv V-hjul,Toyota,Corolla Touring,Unknown,Unknown
7530,,Skåne,2023,Miljöbränsle/Hybrid,1642,Automat,379900,Ford Kuga KUGA TITANIUM 2.5 PLUG-IN HYBRID FWD 225HK CVT,Ford,Kuga KUGA,Unknown,225
7531,,Göteborg,2019,Diesel,17407,Automat,274900,Nissan Navara 2.3 dCi 4WD 190hk Tekna Kåpa Värmare LEASBAR,Nissan,Navara 2,Unknown,190
7532,,Värmland,2022,El,1100,Automat,625000,BMW i4 eDrive40 Gran Coupé,BMW,i4 eDrive40,4,Unknown
7533,,Stockholm,2018,Diesel,11333,Automat,249000,Volvo S90 D4 AWD Momentum VOC|Adaptiv|Keyless|PDC Bak,Volvo,S90 D4,4,Unknown
7534,,Västmanland,2016,Bensin,9150,Automat,229800,Volvo V40 T5 R-Design / Carbon Edition / Polestar / 245HK,Volvo,V40 T5,Unknown,245
7535,,Älvsborg,2020,Bensin,5192,Automat,235000,Honda HR-V 1.5 i-VTEC Turbo CVT 182hk Sport Navi Euro 6,Honda,HR-V 1,Unknown,182
7536,,Älvsborg,2022,El,1900,Automat,719000,Audi E-Tron Sportback 55 Quattro S-Line Black Edition 408hk,Audi,E-Tron Sportback,Unknown,408
7537,,Stockholm,2018,Bensin,14700,Automat,274800,Volvo XC60 T5 AWD Business Advanced Drag Navi VOC Blis HUD B,Volvo,XC60 T5,5,Unknown
7538,,Göteborg,2018,Diesel,17089,Automat,230000,Volvo V90 Cross Country D4 AWD Geartronic Kinetic Euro 6,Volvo,V90 Cross,4,Unknown
7539,,Stockholm,2017,Diesel,14734,Automat,194900,Volvo V60 D4 Business Advanced R-Design,Volvo,V60 D4,Unknown,Unknown
7540,,Kronoberg,2022,Bensin,3300,Manuell,229000,Skoda Kamiq 1.0 TSI 110hk Adventure Edition Style Adaptivfar,Skoda,Kamiq 1,1.0,110
7541,,Kronoberg,2018,Bensin,1600,Manuell,159000,Ford Focus 1.0 EcoBoost 125hk 5D Rattvärme Drag V-hjul,Ford,Focus 1,Unknown,125
7542,,Halland,2021,Bensin,3256,Manuell,269500,MINI Cabrio Cooper S/ 178hk/ 6.95% Ränta,MINI,Cabrio Cooper,Unknown,178
